epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.5,1.01034,1.60468,1.36657,0.88567,0.95511,0.96601,0.72745,0.97513,1.4217,1.5944,0.000545377,0.000545377,0.000545377
2,36.8633,0.86146,0.72095,1.22735,0.91098,0.98139,0.96337,0.63191,1.17003,1.32331,1.76671,0.00107924,0.00107924,0.00107924
3,52.971,0.90613,0.7131,1.23972,0.4692,0.89041,0.59039,0.37948,1.18017,2.62658,1.50721,0.0015911,0.0015911,0.0015911
4,69.5156,0.90745,0.65111,1.23486,0.91186,0.9726,0.974,0.72771,0.8565,1.16909,1.36938,0.00156798,0.00156798,0.00156798
5,86.469,0.80622,0.59167,1.18149,0.97252,0.9698,0.99058,0.82626,0.70076,0.69766,1.18501,0.00153497,0.00153497,0.00153497
6,102.558,0.79927,0.59363,1.1824,0.97029,0.9726,0.98997,0.81836,0.67674,0.67071,1.14749,0.00150197,0.00150197,0.00150197
7,118.522,0.77113,0.56691,1.15105,0.98645,0.99714,0.99216,0.81545,0.71196,0.52714,1.14572,0.00146896,0.00146896,0.00146896
8,135.636,0.74713,0.52824,1.14527,0.98559,1,0.99486,0.88009,0.57006,0.42805,1.0774,0.00143595,0.00143595,0.00143595
9,151.642,0.70725,0.49583,1.12028,0.96908,0.9726,0.99318,0.81826,0.70312,0.53108,1.14183,0.00140295,0.00140295,0.00140295
10,167.69,0.6817,0.47809,1.11024,0.99776,1,0.995,0.88415,0.56459,0.40356,1.03913,0.00136994,0.00136994,0.00136994
11,183.763,0.71536,0.4973,1.13142,0.99958,1,0.995,0.89335,0.50099,0.36405,1.01245,0.00133693,0.00133693,0.00133693
12,200.733,0.66712,0.45597,1.10056,1,0.98508,0.99486,0.88772,0.49777,0.38695,1.01834,0.00130393,0.00130393,0.00130393
13,216.839,0.64404,0.4354,1.07795,1,0.9992,0.995,0.92777,0.41907,0.32496,0.94732,0.00127092,0.00127092,0.00127092
14,232.942,0.62829,0.43964,1.07225,1,0.99961,0.995,0.88405,0.51245,0.4173,1.02926,0.00123791,0.00123791,0.00123791
15,249.042,0.60919,0.41988,1.06846,1,0.99928,0.995,0.92402,0.43457,0.28996,0.96324,0.00120491,0.00120491,0.00120491
16,265.996,0.61428,0.41914,1.05951,0.99905,1,0.995,0.91949,0.49,0.31548,0.9886,0.0011719,0.0011719,0.0011719
17,282.189,0.59229,0.40184,1.05047,0.98646,0.99789,0.99486,0.92383,0.43214,0.33023,0.96125,0.00113889,0.00113889,0.00113889
18,298.177,0.60806,0.41162,1.06081,0.99639,0.9863,0.99448,0.92938,0.42527,0.32318,0.94687,0.00110589,0.00110589,0.00110589
19,314.651,0.60127,0.40493,1.04284,0.99931,1,0.995,0.93727,0.39124,0.31111,0.94159,0.00107288,0.00107288,0.00107288
20,331.163,0.55278,0.37371,1.0278,0.99864,1,0.995,0.92896,0.42431,0.27829,0.94305,0.00103987,0.00103987,0.00103987
21,347.27,0.57059,0.38105,1.02929,0.99935,1,0.995,0.93013,0.44267,0.3037,0.95543,0.00100687,0.00100687,0.00100687
22,363.578,0.54139,0.37564,1.02784,0.99874,1,0.995,0.93901,0.40731,0.31285,0.93211,0.000973861,0.000973861,0.000973861
23,380.228,0.52893,0.3637,1.01816,0.99907,1,0.995,0.92949,0.38509,0.26479,0.92687,0.000940855,0.000940855,0.000940855
24,397.035,0.54527,0.36107,1.02477,0.99911,1,0.995,0.95631,0.34927,0.27388,0.91199,0.000907848,0.000907848,0.000907848
25,413.143,0.53307,0.3606,1.01257,0.99903,1,0.995,0.92493,0.41521,0.27883,0.9203,0.000874842,0.000874842,0.000874842
26,429.202,0.49589,0.33507,1.00019,0.99933,1,0.995,0.95442,0.35782,0.23389,0.9114,0.000841835,0.000841835,0.000841835
27,446.185,0.48996,0.33332,0.99392,1,0.99815,0.995,0.95802,0.33685,0.2436,0.89825,0.000808828,0.000808828,0.000808828
28,462.483,0.48521,0.32813,0.98836,0.99921,1,0.995,0.96046,0.35057,0.2374,0.90079,0.000775822,0.000775822,0.000775822
29,478.578,0.47437,0.32699,0.99769,0.99925,1,0.995,0.96036,0.33609,0.23166,0.90206,0.000742815,0.000742815,0.000742815
30,494.575,0.48716,0.32805,0.99401,0.99897,1,0.995,0.95715,0.33028,0.24488,0.90774,0.000709809,0.000709809,0.000709809
31,511.497,0.47154,0.31813,0.99536,0.99923,1,0.995,0.96883,0.32026,0.22743,0.89086,0.000676802,0.000676802,0.000676802
32,527.892,0.47481,0.31829,0.99755,0.99926,1,0.995,0.96211,0.35063,0.23825,0.92626,0.000643795,0.000643795,0.000643795
33,543.989,0.45608,0.30845,0.98677,0.99927,1,0.995,0.94774,0.34346,0.22506,0.90341,0.000610789,0.000610789,0.000610789
34,560.22,0.46966,0.30926,0.99388,0.99923,1,0.995,0.96705,0.3016,0.20341,0.87556,0.000577782,0.000577782,0.000577782
35,576.948,0.43505,0.29355,0.97821,0.99925,1,0.995,0.97044,0.30884,0.22769,0.89176,0.000544776,0.000544776,0.000544776
36,593.294,0.43244,0.2972,0.97462,0.99926,1,0.995,0.9646,0.32277,0.22067,0.8874,0.000511769,0.000511769,0.000511769
37,609.422,0.4275,0.29758,0.96274,0.99892,1,0.995,0.96462,0.29962,0.21477,0.88443,0.000478762,0.000478762,0.000478762
38,625.65,0.42219,0.28453,0.96947,0.99925,1,0.995,0.9643,0.2778,0.18546,0.8673,0.000445756,0.000445756,0.000445756
39,642.379,0.42422,0.2929,0.96504,0.99925,1,0.995,0.97116,0.29495,0.19249,0.87138,0.000412749,0.000412749,0.000412749
40,658.965,0.42065,0.28395,0.96698,0.99923,1,0.995,0.96684,0.30952,0.21024,0.87172,0.000379743,0.000379743,0.000379743
41,676.153,0.28406,0.2266,0.88915,0.99927,1,0.995,0.9743,0.30126,0.20555,0.86945,0.000346736,0.000346736,0.000346736
42,692.836,0.27399,0.20895,0.88141,0.99927,1,0.995,0.98177,0.28021,0.19943,0.86384,0.000313729,0.000313729,0.000313729
43,711.939,0.25881,0.19616,0.86495,0.99913,1,0.995,0.97888,0.25698,0.18419,0.86436,0.000280723,0.000280723,0.000280723
44,727.787,0.2565,0.19533,0.86706,0.99885,1,0.995,0.97656,0.257,0.1807,0.86776,0.000247716,0.000247716,0.000247716
45,744.298,0.24106,0.18504,0.86404,0.99927,1,0.995,0.97962,0.27385,0.17908,0.86308,0.00021471,0.00021471,0.00021471
46,760.296,0.2353,0.17723,0.86049,0.99928,1,0.995,0.97789,0.2626,0.17173,0.85666,0.000181703,0.000181703,0.000181703
47,776.067,0.2237,0.17047,0.85039,0.99925,1,0.995,0.98802,0.25152,0.1692,0.84501,0.000148696,0.000148696,0.000148696
48,792.333,0.20876,0.16319,0.83979,0.99928,1,0.995,0.9813,0.25208,0.16953,0.84991,0.00011569,0.00011569,0.00011569
49,808.407,0.2066,0.15722,0.83828,0.99928,1,0.995,0.98243,0.24348,0.16119,0.84799,8.26832e-05,8.26832e-05,8.26832e-05
50,824.648,0.2004,0.1537,0.84658,0.99927,1,0.995,0.98345,0.24084,0.1548,0.84737,4.96766e-05,4.96766e-05,4.96766e-05
