epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,354.434,1.50228,2.01629,1.64846,0.37759,0.35218,0.23723,0.12539,2.28327,3.45287,2.58881,0.000661765,0.000661765,0.000661765
2,711.436,1.65397,1.85246,1.74067,0.4552,0.35673,0.27902,0.15131,2.30973,3.29944,2.56441,0.00130213,0.00130213,0.00130213
3,1071.37,1.73441,1.87713,1.807,0.22218,0.23847,0.14694,0.06878,2.79895,4.65442,3.20148,0.00191609,0.00191609,0.00191609
4,1436.87,1.68727,1.80028,1.77348,0.5333,0.34568,0.31991,0.18888,2.25711,2.55644,2.53812,0.0018812,0.0018812,0.0018812
5,1801.3,1.64495,1.73407,1.72224,0.47652,0.43296,0.31799,0.17606,2.16577,2.6899,2.32287,0.0018416,0.0018416,0.0018416
6,2158.03,1.61152,1.67776,1.70493,0.43769,0.42495,0.26552,0.13812,2.11245,2.53834,2.24593,0.001802,0.001802,0.001802
7,2529.78,1.54935,1.63295,1.66117,0.52678,0.48798,0.33138,0.20345,1.94559,2.39877,2.13038,0.0017624,0.0017624,0.0017624
8,2901.87,1.52772,1.60805,1.65408,0.50341,0.49403,0.32911,0.19989,1.91861,2.20798,2.12387,0.0017228,0.0017228,0.0017228
9,3267.87,1.4864,1.59395,1.63622,0.59174,0.42286,0.40532,0.25295,2.04523,2.31371,2.26857,0.0016832,0.0016832,0.0016832
10,3635.93,1.45605,1.54722,1.61294,0.49573,0.46654,0.31797,0.18863,1.96367,2.13488,2.10195,0.0016436,0.0016436,0.0016436
11,3997.51,1.4592,1.53043,1.61148,0.55477,0.51852,0.3699,0.22705,1.89864,2.12949,2.06908,0.001604,0.001604,0.001604
12,4358.5,1.4534,1.50559,1.58815,0.52647,0.47173,0.35137,0.21452,2.06392,2.19071,2.20423,0.0015644,0.0015644,0.0015644
13,4725.72,1.4169,1.48419,1.56948,0.54579,0.50552,0.39512,0.25818,1.90188,2.17192,2.14032,0.0015248,0.0015248,0.0015248
14,5093.19,1.38356,1.43337,1.54795,0.54807,0.47628,0.36295,0.22202,1.96903,2.09824,2.15864,0.0014852,0.0014852,0.0014852
15,5460.83,1.35834,1.40316,1.52648,0.54678,0.49968,0.40991,0.26269,1.96312,2.10405,2.15397,0.0014456,0.0014456,0.0014456
16,5828.39,1.38092,1.39684,1.52492,0.5627,0.53866,0.37149,0.23149,1.81175,2.05697,1.99318,0.001406,0.001406,0.001406
17,6196.17,1.35546,1.38151,1.50706,0.58632,0.49085,0.39426,0.25554,1.9322,2.14991,2.1202,0.0013664,0.0013664,0.0013664
18,6563.93,1.34102,1.38159,1.50531,0.57461,0.52661,0.41593,0.26715,1.82028,2.00679,2.00414,0.0013268,0.0013268,0.0013268
19,6930.93,1.3283,1.38539,1.49857,0.57545,0.54451,0.3796,0.2418,1.79433,2.01063,1.96631,0.0012872,0.0012872,0.0012872
20,7298.32,1.3108,1.36873,1.49044,0.57601,0.52112,0.39955,0.26065,1.84496,1.99773,2.03349,0.0012476,0.0012476,0.0012476
21,7671.87,1.33921,1.38557,1.50913,0.5822,0.51657,0.39402,0.25193,1.88682,2.01737,2.10512,0.001208,0.001208,0.001208
22,8048.1,1.31567,1.35334,1.4914,0.60279,0.47758,0.44419,0.29404,1.90192,2.00991,2.03818,0.0011684,0.0011684,0.0011684
23,8419.96,1.28467,1.33823,1.4713,0.58894,0.53216,0.3874,0.25259,1.75234,2.04848,1.93478,0.0011288,0.0011288,0.0011288
24,8787.45,1.26868,1.30036,1.4518,0.59935,0.52047,0.41798,0.27561,1.8143,1.99907,2.02384,0.0010892,0.0010892,0.0010892
25,9153.96,1.28283,1.35011,1.46746,0.60444,0.51527,0.43663,0.2905,1.76846,2.00198,1.97221,0.0010496,0.0010496,0.0010496
