epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,721.634,1.51599,1.99693,1.63841,0.62764,0.35755,0.33785,0.21202,2.25944,2.93714,2.42696,0.000663492,0.000663492,0.000663492
2,1408.93,1.65638,1.82107,1.72963,0.61387,0.37626,0.35425,0.19585,2.31964,2.95557,2.44419,0.00130382,0.00130382,0.00130382
3,2093.34,1.66361,1.80007,1.74891,0.4629,0.38384,0.28747,0.15736,2.26213,2.66223,2.37555,0.00191775,0.00191775,0.00191775
4,2780.49,1.65851,1.79824,1.7441,0.54512,0.34596,0.30475,0.17756,2.39096,2.79434,2.65351,0.0018812,0.0018812,0.0018812
5,3467.41,1.60638,1.70439,1.70072,0.53035,0.46624,0.39662,0.25916,2.006,2.30461,2.1562,0.0018416,0.0018416,0.0018416
6,4156.01,1.56787,1.67804,1.67201,0.50962,0.48024,0.34309,0.21517,1.93234,2.41107,2.13852,0.001802,0.001802,0.001802
7,4849.78,1.52615,1.60552,1.63692,0.5555,0.44066,0.39162,0.25537,2.08027,2.35645,2.3269,0.0017624,0.0017624,0.0017624
8,5544.25,1.48677,1.58879,1.61797,0.66023,0.42937,0.44502,0.3116,1.80818,2.06171,2.00868,0.0017228,0.0017228,0.0017228
9,6234.54,1.48116,1.5634,1.61387,0.65795,0.41162,0.41908,0.28427,1.90633,2.18729,2.09128,0.0016832,0.0016832,0.0016832
10,6923.99,1.44429,1.5291,1.58391,0.65053,0.45076,0.44584,0.31481,1.76731,2.09633,1.98265,0.0016436,0.0016436,0.0016436
11,7610.99,1.43963,1.51224,1.57647,0.52208,0.48106,0.36451,0.2462,1.88964,2.231,2.17511,0.001604,0.001604,0.001604
12,8296.47,1.41055,1.49196,1.56285,0.60242,0.45833,0.4379,0.31032,1.73767,2.06947,2.00997,0.0015644,0.0015644,0.0015644
13,8983.83,1.40484,1.48974,1.56252,0.72984,0.42298,0.44306,0.32339,1.72711,2.09308,1.91807,0.0015248,0.0015248,0.0015248
